file,toeic,proficiency,qType,quest_label,quest_tstart,quest_tend,quest_tmid,visual,vegetative,vocal_start,vocal_end,vocal_label,combined,verbal,viable
J2-003,850,Intermediate,Polar,10,11786,13792,12789,,,,,,14236,,14236
J2-003,850,Intermediate,Open,20,24459,27482,25970,27700,,,,,28158,28158,31679
J2-003,850,Intermediate,Polar,30,65745,68264,67004,69260,,69831,70589,mmm,70810,70810,71362
J2-003,850,Intermediate,Open,50,109778,113672,111725,113125,,113734,114293,uh,115464,115464,117293
J2-005,865,Intermediate,Polar,10,12648,14324,13486,14500,,15238,15577,,15811,,15811
J2-005,865,Intermediate,Open,20,39222,42017,40619,41372,42087,,,,42617,42617,48905
J2-005,865,Intermediate,Polar,30,74935,77786,76360,78047,,,,,78253,,78253
J2-005,865,Intermediate,Open,50,102248,106563,104405,105663,,107059,107858,uuuh,109029,,109029
J2-009,820,Intermediate,Polar,10,8536,10521,9528,,8536,,,,11177,,11177
J2-009,820,Intermediate,Open,20,24759,27280,26019,26594,,,,,28529,28529,30974
J2-009,820,Intermediate,Polar,30,66910,69405,68157,69022,,,,,69381,,69381
J2-009,820,Intermediate,Open,50,108484,112768,110626,112219,,,,,113765,113765,118000
J2-018,805,Intermediate,Polar,10,8546,10336,9441,10753,,,,,10922,,10922
J2-018,805,Intermediate,Open,20,20048,22530,21289,22890,,23577,23881,mmm,25411,25411,27134
J2-018,805,Intermediate,Polar,30,69731,72347,71039,,,,,,72760,,72760
J2-018,805,Intermediate,Open,50,100954,104331,102642,103982,104510,107458,108186,mmm,110711,,110711
J2-026,807,Intermediate,Polar,10,8860,10551,9705,11607,,11718,12082,mmm,12092,,12092
J2-026,807,Intermediate,Open,20,31808,34451,33129,,,35722,36237,eeeh,37086,37086,38438
J2-026,807,Intermediate,Polar,30,84287,86877,85582,87570,,87810,88868,mmm,89589,,89589
J2-026,807,Intermediate,Open,50,107185,110236,108710,,,111666,112093,mmm,116294,,116294
J2-034,885,Intermediate,Polar,10,10681,12549,11615,12731,12921,,,,13348,,13348
J2-034,885,Intermediate,Open,20,34190,36668,35429,35429,,,,,37246,37246,40017
J2-034,885,Intermediate,Polar,30,70453,72756,71604,72399,,73571,74216,unclear,74216,74216,74619
J2-034,885,Intermediate,Open,50,171303,174222,172762,174442,,,,,175702,175702,
J2-036,830,Intermediate,Polar,10,9675,11319,10497,11545,,,,,12491,,12491
J2-036,830,Intermediate,Open,20,23366,25932,24649,,,27347,,repetition,28732,28732,29268
J2-036,830,Intermediate,Polar,30,73050,75521,74285,75092,,,,,75957,,75957
J2-036,830,Intermediate,Open,50,118326,121971,120148,122503,123015,,,,125140,125140,126589
J2-046,830,Intermediate,Polar,10,11283,12734,12008,12869,12990,,,,13473,,13473
J2-046,830,Intermediate,Open,20,18850,21127,19988,,,,,,21539,21539,27029
J2-046,830,Intermediate,Polar,30,65699,68064,66881,68159,,,,,68576,,68576
J2-046,830,Intermediate,Open,50,94001,97526,95763,97700,97750,98742,100596,mmm,102179,102179,107483
J2-066,810,Intermediate,Polar,10,7065,8559,7812,,8892,,,,9203,,9203
J2-066,810,Intermediate,Open,20,54358,56819,55588,55500,,57377,57775,mmm,59688,,59688
J2-066,810,Intermediate,Polar,30,64019,66193,65106,65815,,,,,66336,,66336
J2-066,810,Intermediate,Open,50,105954,108977,107465,109089,109206,109716,109998,ah,111114,111114,112689
J2-076,865,Intermediate,Polar,10,5014,6690,5852,6815,,,,,7974,7974,
J2-076,865,Intermediate,Open,20,33200,36190,34695,,,36635,37354,uuuh,37346,,37346
